vocab,kana,English definition
カーテン,,curtain
ソファ,,sofa
冷蔵庫,れいぞうこ,refrigerator
スイッチ,,switch
しょう油,しょうゆ,soy sauce
スープ,,soup
バナナ,,banana
ポップコーン,,popcorn
シャンプー,,shampoo
ろうそく,,candle
タオル,,towel
スカート,,skirt
日記,にっき,diary
携帯（電話）,けいたい（でんわ）,cell phone
桜,さくら,cherry blossom
虫,むし,insect
家賃,やちん,rent
外,そと,outside
後,あと,the rest
夕方,ゆうがた,evening
明るい,あかるい,bright
暗い,くらい,dark
恥ずかしい,はずかしい,embarrassing; to feel embarrassed
大切,たいせつ（な）,precious; important
不安,ふあん（な）,anxious; worried
無理,むり（な）,impossible
開く,あく,(something) opens (～が)
閉まる,しまる,(something) closes (～が)
謝る,あやまる,to apologize (person に)
押す,おす,to press; to push (～を)
落とす,おとす,to drop (something) (～を)
お湯が沸く,おゆがわく,water boils
転ぶ,ころぶ,to fall down
壊す,こわす,to break (something) (～を)
咲く,さく,to bloom (～が)
助かる,たすかる,to be saved; to be helped
頼む,たのむ,to ask (a favor) (person に～を)
つく,,(something) turns on (～が)
汚す,よごす,to make dirty (～を)
落ちる,おちる,(something) drops (～が)
片付ける,かたづける,to tidy up (～を)
考える,かんがえる,to think (about); to consider
消える,きえる,(something) goes off (～が)
壊れる,こわれる,(something) breaks (～が)
汚れる,よごれる,to become dirty (～が)
注文する,ちゅうもんする,to place an order (～を)
今すぐ,いますぐ,right away
～までに,,by (time/date)
本当に,ほんとうに,really
まず,,first of all
おかげで,,thanks to... (～の)
どうしよう,,What should I/we do?
～（ん）だろう,,short form of ～（ん）でしょう
お先に失礼します,おさきにしつれいします,See you. (lit., I'm leaving ahead of you.)
お疲れ様（でした）,おつかれさま（でした）,You must be tired after working so hard. (greeting between friends and coworkers)
